place,placeLabel,gnd,iccd,image
http://www.wikidata.org/entity/Q186282,basilica di Santa Maria Maggiore,4228647-5,15230,http://commons.wikimedia.org/wiki/Special:FilePath/Roma%20-%202016-05-23%20-%20Basilica%20di%20Santa%20Maria%20Maggiore%20-%202957.jpg
http://www.wikidata.org/entity/Q569253,basilica di Santa Maria degli Angeli e dei Martiri,4359179-6,15437,http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20di%20Santa%20Maria%20degli%20Angeli%20e%20dei%20Martiri%20-%2022-11-2019.jpg
http://www.wikidata.org/entity/Q869513,basilica di Santa Maria del Popolo,4310297-9,15471,http://commons.wikimedia.org/wiki/Special:FilePath/Church%20St%20Maria%20del%20popolo%201.jpg
http://www.wikidata.org/entity/Q318660,basilica di Santa Maria in Aracoeli,1086875974,15440,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Maria%20in%20Aracoeli%2001.JPG
http://www.wikidata.org/entity/Q318660,basilica di Santa Maria in Aracoeli,4305824-3,15440,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Maria%20in%20Aracoeli%2001.JPG
http://www.wikidata.org/entity/Q609293,basilica di Santa Maria in Cosmedin,4199099-7,,http://commons.wikimedia.org/wiki/Special:FilePath/Roma%2C%20basilica%20di%20Santa%20Maria%20in%20Cosmedin%20-%20Facciata.jpg
http://www.wikidata.org/entity/Q2060055,basilica di Santa Maria in Domnica,4540686-8,15448,http://commons.wikimedia.org/wiki/Special:FilePath/248SMariaInDomnica.JPG
http://www.wikidata.org/entity/Q1809115,basilica di Santa Maria in Montesanto,4679497-9,15463,http://commons.wikimedia.org/wiki/Special:FilePath/Roma-piazza%20del%20popolo.jpg
http://www.wikidata.org/entity/Q846559,basilica di Santa Maria in Via Lata,4199098-5,15482,http://commons.wikimedia.org/wiki/Special:FilePath/Rom%2C%20die%20Kirche%20Santa%20Maria%20in%20Via%20Lata.JPG
http://www.wikidata.org/entity/Q823685,basilica di Santa Maria sopra Minerva,4199104-7,15456,http://commons.wikimedia.org/wiki/Special:FilePath/Roma-Santa%20Maria%20sopra%20Minerva.jpg
http://www.wikidata.org/entity/Q733890,basilica di Santa Prassede,4249269-5,,http://commons.wikimedia.org/wiki/Special:FilePath/Interior%20of%20Basilica%20di%20Santa%20Prassede%2C%20Rome.JPG
http://www.wikidata.org/entity/Q1526417,basilica di Santa Pudenziana,4357118-9,,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Pudenziana%20%28Rome%29.jpg
http://www.wikidata.org/entity/Q592244,basilica di Santa Sabina,4470616-9,,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Sabina3.jpg
http://www.wikidata.org/entity/Q919456,basilica di Santo Stefano Rotondo al Celio,4302056-2,15527,http://commons.wikimedia.org/wiki/Special:FilePath/Celio%20-%20santo%20Stefano%20Rotondo%20-%20interno%20in%20restauro%2001533-4.JPG
http://www.wikidata.org/entity/Q3657331,cappella Bufalini,7547225-9,,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Maria%20in%20Aracoeli%20Rome%20first%20chapel%20right%20side.jpg
http://www.wikidata.org/entity/Q769964,cappella Carafa,4199107-2,,http://commons.wikimedia.org/wiki/Special:FilePath/Cappella%20di%20filippo%20strozzi%2001.JPG
http://www.wikidata.org/entity/Q1034868,cappella Paolina,4552938-3,,http://commons.wikimedia.org/wiki/Special:FilePath/Cappella%20paolina%2C%2002%2C0.jpg
http://www.wikidata.org/entity/Q2943,cappella Sistina,4104970-6,,http://commons.wikimedia.org/wiki/Special:FilePath/Cappella%20Sistina%20-%202005.jpg
http://www.wikidata.org/entity/Q1165017,chiesa dei Santi Claudio e Andrea dei Borgognoni,7599820-8,,http://commons.wikimedia.org/wiki/Special:FilePath/Chiesa%20dei%20Santi%20Claudio%20e%20Andrea%20dei%20Borgognoni%20Roma.JPG
http://www.wikidata.org/entity/Q1571611,chiesa dei Santi Domenico e Sisto,4356383-1,15385,http://commons.wikimedia.org/wiki/Special:FilePath/Santi%20Domenico%20e%20Sisto.jpg
http://www.wikidata.org/entity/Q2247059,chiesa dei Santi Giovanni Evangelista e Petronio,7715234-7,,http://commons.wikimedia.org/wiki/Special:FilePath/Regola%20-%20SS.%20Giovanni%20Evangelista%20e%20Petronio.JPG
http://www.wikidata.org/entity/Q1813867,chiesa dei Santi Luca e Martina,4201078-0,,http://commons.wikimedia.org/wiki/Special:FilePath/2012-02-17%20Foro%20Romano%20da%20Palazzo%20Senatorio%203.jpg
http://www.wikidata.org/entity/Q28082,chiesa dei Santi Michele e Magno,4589278-7,15485,http://commons.wikimedia.org/wiki/Special:FilePath/Rom%20-Santi%20Michele%20e%20Magno-%202019%20by-RaBoe%20001.jpg
http://www.wikidata.org/entity/Q3668445,chiesa dei Santi Simone e Giuda,7713706-1,,http://commons.wikimedia.org/wiki/Special:FilePath/Ponte%20-%20SS.%20Simone%20e%20Giuda.JPG
http://www.wikidata.org/entity/Q719794,chiesa del Gesù,4388553-6,15397,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89glise%20Ges%C3%B9%20-%20Rome%20%28IT62%29%20-%202021-08-30%20-%202.jpg
http://www.wikidata.org/entity/Q1856400,chiesa del Santissimo Nome di Maria al Foro Traiano,4825478-2,,http://commons.wikimedia.org/wiki/Special:FilePath/Kolumna%20Trajana%20i%20Kosciol%20Najswietdzego%20Imienia%20Marii.JPG
http://www.wikidata.org/entity/Q1852769,chiesa della Santissima Trinità dei Pellegrini,4726790-2,,http://commons.wikimedia.org/wiki/Special:FilePath/Roma%20Regola%20Chiesa%20della%20Santissima%20Trinit%C3%A0%20dei%20Pellegrini.jpg
http://www.wikidata.org/entity/Q1229008,chiesa della Trinità dei Monti,4698300-4,,http://commons.wikimedia.org/wiki/Special:FilePath/L%C3%A9glise%20de%20la%20Trinit%C3%A0%20dei%20Monti%20%28Rome%29%20%285977766836%29.jpg
http://www.wikidata.org/entity/Q1539997,chiesa delle Sante Rufina e Seconda,4684652-9,,http://commons.wikimedia.org/wiki/Special:FilePath/Trastevere%20-%20SS.%20Rufina%20e%20Seconda.JPG
http://www.wikidata.org/entity/Q1342766,chiesa delle Santissime Stimmate di San Francesco,7678417-4,,http://commons.wikimedia.org/wiki/Special:FilePath/Eglise%20Santissime%20Stimmate%20di%20San%20Francesco.JPG
http://www.wikidata.org/entity/Q1649784,chiesa di Nostra Signora del Sacro Cuore,4593099-5,,http://commons.wikimedia.org/wiki/Special:FilePath/Parione%20-%20Nostra%20Signora%20del%20Sacro%20Cuore%20gi%C3%A0%20san%20Giacomo%20degli%20spagnoli%2001449.JPG
http://www.wikidata.org/entity/Q3585317,chiesa di San Benedetto in Piscinula,4595399-5,15360,http://commons.wikimedia.org/wiki/Special:FilePath/Eglise%20San%20Benedetto%20in%20Piscinula.JPG
http://www.wikidata.org/entity/Q1344657,chiesa di San Bernardino in Panisperna,7566453-7,,http://commons.wikimedia.org/wiki/Special:FilePath/Monti%20-%20s%20Bernardino%20da%20Siena%20a%20Panisperna%201150570.JPG
http://www.wikidata.org/entity/Q1568136,chiesa di San Bernardo alle Terme,4593605-5,,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Bernardo%20alle%20Terme%20%28Rome%29%20-%20Front.jpg
http://www.wikidata.org/entity/Q1646813,chiesa di San Biagio degli Armeni,4688915-2,,http://commons.wikimedia.org/wiki/Special:FilePath/Ponte%20-%20via%20Giulia%20s%20Biagio%20della%20pagnotta%20o%20degli%20Armeni%201000209.JPG
http://www.wikidata.org/entity/Q167124,chiesa di San Bonaventura al Palatino,4614100-5,,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Bonaventura%2003.JPG
http://www.wikidata.org/entity/Q19593814,chiesa di San Carlo ai Catinari,4461208-4,15369,http://commons.wikimedia.org/wiki/Special:FilePath/S.%20Eustachio%20-%20S.%20Carlo%20ai%20Catinari.JPG
http://www.wikidata.org/entity/Q3669995,chiesa di San Filippo Neri,4622612-6,,http://commons.wikimedia.org/wiki/Special:FilePath/Regola%20-%20S.%20Filippo%20Neri.JPG
http://www.wikidata.org/entity/Q571088,chiesa di San Francesco a Ripa,4795354-8,,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Francesco%20a%20Ripa.jpg
http://www.wikidata.org/entity/Q1581615,chiesa di San Francesco di Paola,7563217-2,,http://commons.wikimedia.org/wiki/Special:FilePath/Monti%20-%20S.%20Francesco%20di%20Paola.JPG
http://www.wikidata.org/entity/Q2219582,chiesa di San Giacomo in Augusta,4815695-4,15400,http://commons.wikimedia.org/wiki/Special:FilePath/Campo%20Marzio%20-%20S.%20Giacomo%20in%20Augusta.jpg
http://www.wikidata.org/entity/Q1143083,chiesa di San Gioacchino in Prati,4547273-7,,http://commons.wikimedia.org/wiki/Special:FilePath/Prati%20-%20S.%20Gioacchino%20ai%20Prati.JPG
http://www.wikidata.org/entity/Q517374,chiesa di San Giorgio in Velabro,4261469-7,,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Giorgio%20in%20Velabro.JPG
http://www.wikidata.org/entity/Q1255741,chiesa di San Giovanni Decollato,4461212-6,,http://commons.wikimedia.org/wiki/Special:FilePath/Ripa%20-%20san%20Giovanni%20decollato%201562-3.JPG
http://www.wikidata.org/entity/Q3670556,chiesa di San Giovanni in Ayno,4675107-5,,http://commons.wikimedia.org/wiki/Special:FilePath/Regola%20-%20San%20Giovanni%20in%20Ayno.JPG
http://www.wikidata.org/entity/Q2791338,chiesa di San Girolamo dei Croati,4461205-9,15409,http://commons.wikimedia.org/wiki/Special:FilePath/Campo%20Marzio%20-%20san%20Girolamo%20degli%20Schiavoni%2000523.JPG
http://www.wikidata.org/entity/Q888055,chiesa di San Girolamo della Carità,4461206-0,,http://commons.wikimedia.org/wiki/Special:FilePath/Regola%20-%20s%20Girolamo%20della%20carit%C3%A0%20fianco%201130360.JPG
http://www.wikidata.org/entity/Q1143123,chiesa di San Giuliano dei Fiamminghi,7717956-0,,http://commons.wikimedia.org/wiki/Special:FilePath/S.%20Eustachio%20-%20S.%20Giuliano%20Ospitaliere%20dei%20Fiamminghi.JPG
http://www.wikidata.org/entity/Q1312988,chiesa di San Giuseppe dei Falegnami,4561422-2,15416,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Giuseppe%20dei%20Falegnami%20%28Roma%29%20-%20Facciata%20%28Mamertinum%29.jpg
http://www.wikidata.org/entity/Q3670948,chiesa di San Lorenzo in Piscibus,7678228-1,,http://commons.wikimedia.org/wiki/Special:FilePath/Borgo%20-%20S.%20Lorenzo%20in%20Piscibus.JPG
http://www.wikidata.org/entity/Q638283,chiesa di San Luigi dei Francesi,4199094-8,,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Luigi%20dei%20Francesi%20Church.jpg
http://www.wikidata.org/entity/Q972881,chiesa di San Marcello al Corso,4458806-9,15434,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Marcello%20al%20Corso.jpg
http://www.wikidata.org/entity/Q1258576,chiesa di San Pietro in Montorio,4823245-2,15507,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Pietro%20in%20Montorio2.JPG
http://www.wikidata.org/entity/Q3671940,chiesa di San Rocco all'Augusteo,7710857-7,15512,http://commons.wikimedia.org/wiki/Special:FilePath/Chiesa-san-rocco.JPG
http://www.wikidata.org/entity/Q3671940,chiesa di San Rocco all'Augusteo,7710857-7,15512,http://commons.wikimedia.org/wiki/Special:FilePath/ItaliaRomaSanRoccoCupola.jpg
http://www.wikidata.org/entity/Q3585380,chiesa di San Salvatore ai Monti,7862686-9,,http://commons.wikimedia.org/wiki/Special:FilePath/Monti%20-%20S.%20Salvatore%20ai%20Monti.JPG
http://www.wikidata.org/entity/Q2220033,chiesa di San Salvatore alle Coppelle,4599641-6,,http://commons.wikimedia.org/wiki/Special:FilePath/S.%20Eustachio%20-%20S.%20Salvatore%20alle%20Coppelle.JPG
http://www.wikidata.org/entity/Q659529,chiesa di San Salvatore in Lauro,4461193-6,15516,http://commons.wikimedia.org/wiki/Special:FilePath/Chiesa%20di%20San%20Salvatore%20in%20Lauro%20-%20panoramio.jpg
http://www.wikidata.org/entity/Q659529,chiesa di San Salvatore in Lauro,4461193-6,15516,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Salvatore%20in%20Lauro%20Rome.jpg
http://www.wikidata.org/entity/Q787605,chiesa di San Sebastiano al Palatino,4795399-8,,http://commons.wikimedia.org/wiki/Special:FilePath/Campitelli%20-%20san%20Sebastiano%20al%20Palatino%20-%20facciata%2001620-1.JPG
http://www.wikidata.org/entity/Q1625428,chiesa di San Silvestro in Capite,7600039-4,15521,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89glise%20San%20Silvestro%20Capite%20-%20Rome%20%28IT62%29%20-%202021-08-29%20-%201.jpg
http://www.wikidata.org/entity/Q926539,chiesa di San Teodoro al Palatino,4793238-7,,http://commons.wikimedia.org/wiki/Special:FilePath/Campitelli%20-%20san%20teodoro%2000768.JPG
http://www.wikidata.org/entity/Q3672139,chiesa di San Tommaso ai Cenci,4843538-7,15533,http://commons.wikimedia.org/wiki/Special:FilePath/Regola%20-%20S%20Tommaso%20ai%20Cenci.jpg
http://www.wikidata.org/entity/Q3502906,chiesa di San Tommaso in Parione,7711429-2,,http://commons.wikimedia.org/wiki/Special:FilePath/Eglise%20San%20Tommaso%20in%20Parione.JPG
http://www.wikidata.org/entity/Q3502906,chiesa di San Tommaso in Parione,7711429-2,,http://commons.wikimedia.org/wiki/Special:FilePath/Parione%20-%20S.%20Tommaso%20in%20Parione.JPG
http://www.wikidata.org/entity/Q1270759,chiesa di Sant'Agata dei Goti,4211628-4,,http://commons.wikimedia.org/wiki/Special:FilePath/Monti%20-%20s%20Agata%20dei%20Goti%20ingresso%20su%20via%20Mazzarino%201000112.JPG
http://www.wikidata.org/entity/Q2223825,chiesa di Sant'Ambrogio della Massima,7593634-3,,http://commons.wikimedia.org/wiki/Special:FilePath/S.%20Angelo%20-%20S.%20Ambrogio%20della%20Massima.JPG
http://www.wikidata.org/entity/Q1354667,chiesa di Sant'Andrea al Quirinale,4458805-7,15343,http://commons.wikimedia.org/wiki/Special:FilePath/Monti%20-%20S%20Andrea%20al%20Quirinale%201.JPG
http://www.wikidata.org/entity/Q1354667,chiesa di Sant'Andrea al Quirinale,4458805-7,15343,http://commons.wikimedia.org/wiki/Special:FilePath/Sant%27Andrea%20al%20Quirinale.jpg
http://www.wikidata.org/entity/Q3672478,chiesa di Sant'Andrea degli Scozzesi,7599814-2,,http://commons.wikimedia.org/wiki/Special:FilePath/Sant%27Andrea%20degli%20Scozzesi.jpg
http://www.wikidata.org/entity/Q26256703,chiesa di Sant'Andrea in Vincis,7749205-5,,http://commons.wikimedia.org/wiki/Special:FilePath/Sant%27Andrea%20in%20Vincis.jpg
http://www.wikidata.org/entity/Q655444,chiesa di Sant'Angelo in Pescheria,7573822-3,,http://commons.wikimedia.org/wiki/Special:FilePath/15%20Portico%20di%20Ottavia.JPG
http://www.wikidata.org/entity/Q2223869,chiesa di Sant'Antonio Abate all'Esquilino,7739375-2,,http://commons.wikimedia.org/wiki/Special:FilePath/Russian%20Catholic%20Church%20in%20Rome%204.JPG
http://www.wikidata.org/entity/Q751480,chiesa di Sant'Antonio in Campo Marzio,4618325-5,15351,http://commons.wikimedia.org/wiki/Special:FilePath/S%20antonio%20dei%20portoghesi%201000034.JPG
http://www.wikidata.org/entity/Q242053,chiesa di Sant'Atanasio,4583454-4,,http://commons.wikimedia.org/wiki/Special:FilePath/Campo%20Marzio%20-%20S.%20Atanasio%208.JPG
http://www.wikidata.org/entity/Q976522,chiesa di Sant'Eligio degli Orefici,7720592-3,,http://commons.wikimedia.org/wiki/Special:FilePath/Regola%20-%20S.%20Eligio%20degli%20Orefici.JPG
http://www.wikidata.org/entity/Q1785642,chiesa di Sant'Eusebio,4577347-6,,http://commons.wikimedia.org/wiki/Special:FilePath/Chiesa%20di%20Sant%27Eusebio.JPG
http://www.wikidata.org/entity/Q1465674,chiesa di Sant'Ignazio di Loyola in Campo Marzio,4468814-3,15417,http://commons.wikimedia.org/wiki/Special:FilePath/Santo%20In%C3%A1cio%20-%20Roma.jpg
http://www.wikidata.org/entity/Q1099048,chiesa di Sant'Isidoro a Capo le Case,4623194-8,,http://commons.wikimedia.org/wiki/Special:FilePath/Ludovisi%20-%20S.%20Isidoro.jpg
http://www.wikidata.org/entity/Q1324617,chiesa di Sant'Ivo alla Sapienza,4260128-9,,http://commons.wikimedia.org/wiki/Special:FilePath/It-roma-s%20ivo%20sapienza-150810-pp-2137.jpg
http://www.wikidata.org/entity/Q2222773,chiesa di Santa Barbara dei Librai,7680099-4,15357,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Barbara%20dei%20Librai%20Rome.jpg
http://www.wikidata.org/entity/Q1134284,chiesa di Santa Caterina dei Funari,4735860-9,15371,http://commons.wikimedia.org/wiki/Special:FilePath/S.%20Angelo%20-%20S.%20Caterina%20dei%20Funari.JPG
http://www.wikidata.org/entity/Q2222815,chiesa di Santa Caterina della Rota,4718818-2,,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Catarina%20della%20Rota.jpg
http://www.wikidata.org/entity/Q2222819,chiesa di Santa Chiara,7680143-3,,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Chiara%20%28Rome%29.jpg
http://www.wikidata.org/entity/Q2222865,chiesa di Santa Croce e San Bonaventura dei Lucchesi,7678256-6,15382,http://commons.wikimedia.org/wiki/Special:FilePath/Trevi%20-%20S.%20Croce%20e%20S.%20Bonaventura%20dei%20Lucchesi.JPG
http://www.wikidata.org/entity/Q911564,chiesa di Santa Lucia in Selci,4618246-9,15431,http://commons.wikimedia.org/wiki/Special:FilePath/Monti%20-%20s%20Lucia%20in%20Selci%20facciata%201040288.JPG
http://www.wikidata.org/entity/Q195660,chiesa di Santa Maria Antiqua,4461204-7,,http://commons.wikimedia.org/wiki/Special:FilePath/Rome%20SantaMariaAntiqua01.jpg
http://www.wikidata.org/entity/Q1817386,chiesa di Santa Maria Maddalena,4478886-1,,http://commons.wikimedia.org/wiki/Special:FilePath/Colonna%20-%20S%20Maria%20Maddalena.JPG
http://www.wikidata.org/entity/Q2095195,chiesa di Santa Maria ai Monti,7690119-1,,http://commons.wikimedia.org/wiki/Special:FilePath/Roma%2C%20chiesa%20di%20Santa%20Maria%20ai%20Monti%20-%20Esterno.jpg
http://www.wikidata.org/entity/Q2223154,chiesa di Santa Maria d'Itria,7599816-6,,http://commons.wikimedia.org/wiki/Special:FilePath/Colonna%20-%20santa%20Maria%20Odigitria%2001608.JPG
http://www.wikidata.org/entity/Q934416,chiesa di Santa Maria dei Miracoli,4679498-0,,http://commons.wikimedia.org/wiki/Special:FilePath/Campo%20Marzio%20-%20S.%20Maria%20dei%20Miracoli.jpg
http://www.wikidata.org/entity/Q1258812,chiesa di Santa Maria dei Sette Dolori,7678260-8,,http://commons.wikimedia.org/wiki/Special:FilePath/Trastevere%20-%20Complesso%20monastico%20di%20S.%20Maria%20dei%20Sette%20Dolori.JPG
http://www.wikidata.org/entity/Q958588,chiesa di Santa Maria del Suffragio,7678266-9,,http://commons.wikimedia.org/wiki/Special:FilePath/Ponte%20-%20S.%20Maria%20del%20Suffragio.JPG
http://www.wikidata.org/entity/Q2140145,chiesa di Santa Maria dell'Anima,4402265-7,,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Maria%20del%20Anima%20I.jpg
http://www.wikidata.org/entity/Q2551285,chiesa di Santa Maria dell'Orazione e Morte,7613332-1,15467,http://commons.wikimedia.org/wiki/Special:FilePath/Regola%20-%20via%20Giulia%20s%20Maria%20dellOrazione%20e%20Morte%201000202.JPG
http://www.wikidata.org/entity/Q1634605,chiesa di Santa Maria dell'Orto,7559204-6,,http://commons.wikimedia.org/wiki/Special:FilePath/Eglise%20Santa%20Maria%20dell%27Orto.JPG
http://www.wikidata.org/entity/Q3673839,chiesa di Santa Maria della Febbre,7739369-7,,http://commons.wikimedia.org/wiki/Special:FilePath/Church%20of%20Santa%20Maria%20della%20Febbre%2C%20Rome-1629-Pieter%20Jansz.%20Saenredam.jpg
http://www.wikidata.org/entity/Q1514683,chiesa di Santa Maria della Pace,7583477-7,,http://commons.wikimedia.org/wiki/Special:FilePath/Ponte-%20Chiesa%20di%20S.Maria%20della%20Pace.jpg
http://www.wikidata.org/entity/Q863593,chiesa di Santa Maria della Vittoria,4505884-2,,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Maria%20della%20Vittoria%20-%208.jpg
http://www.wikidata.org/entity/Q1552500,chiesa di Santa Maria in Aquiro,4461202-3,15439,http://commons.wikimedia.org/wiki/Special:FilePath/Colonna%20-%20S.%20Maria%20in%20Aquiro.JPG
http://www.wikidata.org/entity/Q2223175,chiesa di Santa Maria in Cappella,7559209-5,,http://commons.wikimedia.org/wiki/Special:FilePath/Rome%20Santa%20Maria%20in%20Cappella%209-01-2011%2014-02-47.JPG
http://www.wikidata.org/entity/Q1887973,chiesa di Santa Maria in Monserrato degli Spagnoli,7557795-1,,http://commons.wikimedia.org/wiki/Special:FilePath/Regola%20-%20SantaMaria%20di%20Monserrato%2000442-5.JPG
http://www.wikidata.org/entity/Q1887973,chiesa di Santa Maria in Monserrato degli Spagnoli,7557795-1,,http://commons.wikimedia.org/wiki/Special:FilePath/Regola%20-%20s%20M%20Monserrato%20facciata%201050556.JPG
